"죄종별(1)","죄종별(2)",전과별(1),전과별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"지능범죄","소계",전과있음,7범,4648,4520,4873,4814,4944,4781,4419,4621,4975,5034
"지능범죄","소계",전과있음,8범,4235,3851,4195,3946,4166,3983,3683,3732,3875,3983
"지능범죄","소계",전과있음,9범이상,29162,29521,34977,34601,36744,35027,32542,34865,37396,38188
"지능범죄","소계",미상,소계,-,145004,161660,143135,144678,139723,128550,142992,144664,145347
"지능범죄","직무유기",계,소계,669,823,802,801,860,642,663,713,788,947
"지능범죄","직무유기",없음,소계,610,172,148,125,144,124,96,67,72,70
"지능범죄","직무유기",전과있음,소계,59,76,63,44,51,41,31,19,26,19
"지능범죄","직무유기",전과있음,1범,31,59,38,27,35,19,11,7,15,10
"지능범죄","직무유기",전과있음,2범,11,6,12,9,11,12,13,6,2,7
"지능범죄","직무유기",전과있음,3범,8,5,6,5,4,7,5,1,4,1
"지능범죄","직무유기",전과있음,4범,4,2,2,1,-,2,1,2,-,-
"지능범죄","직무유기",전과있음,5범,4,-,2,-,-,-,-,-,2,-
"지능범죄","직무유기",전과있음,6범,1,1,2,-,-,-,1,2,1,-
"지능범죄","직무유기",전과있음,7범,-,1,-,-,-,-,-,-,1,-
"지능범죄","직무유기",전과있음,8범,-,-,-,1,-,-,-,-,-,-
"지능범죄","직무유기",전과있음,9범이상,-,2,1,1,1,1,-,1,1,1
"지능범죄","직무유기",미상,소계,-,575,591,632,665,477,536,627,690,858
"지능범죄","직권남용",계,소계,357,409,523,595,587,577,679,811,974,1021
"지능범죄","직권남용",없음,소계,320,75,108,78,77,80,94,126,110,112
"지능범죄","직권남용",전과있음,소계,37,34,36,38,31,30,55,59,54,25
"지능범죄","직권남용",전과있음,1범,20,19,23,21,15,13,24,31,25,18
"지능범죄","직권남용",전과있음,2범,12,5,6,10,7,9,15,12,14,5
"지능범죄","직권남용",전과있음,3범,4,4,2,2,2,2,7,5,10,-
"지능범죄","직권남용",전과있음,4범,-,2,4,2,1,3,3,4,1,-
"지능범죄","직권남용",전과있음,5범,-,3,-,1,-,2,3,3,-,-
"지능범죄","직권남용",전과있음,6범,-,-,-,-,-,-,1,1,2,-
"지능범죄","직권남용",전과있음,7범,-,1,1,1,1,1,2,1,-,-
"지능범죄","직권남용",전과있음,8범,-,-,-,-,-,-,-,-,-,-
"지능범죄","직권남용",전과있음,9범이상,1,-,-,1,5,-,-,2,2,2
"지능범죄","직권남용",미상,소계,-,300,379,479,479,467,530,626,810,884
"지능범죄","증수뢰",계,소계,1239,832,855,848,842,788,1128,1131,942,807
"지능범죄","증수뢰",없음,소계,662,276,275,277,290,242,353,393,301,215
"지능범죄","증수뢰",전과있음,소계,577,388,407,384,330,376,530,420,387,311
"지능범죄","증수뢰",전과있음,1범,196,124,142,140,124,105,160,113,119,98
"지능범죄","증수뢰",전과있음,2범,98,75,84,84,57,68,95,68,87,58
"지능범죄","증수뢰",전과있음,3범,79,47,47,34,43,42,78,53,44,37
"지능범죄","증수뢰",전과있음,4범,53,40,41,24,22,28,45,28,32,25
"지능범죄","증수뢰",전과있음,5범,37,26,26,18,15,29,30,25,22,16
"지능범죄","증수뢰",전과있음,6범,30,14,17,13,12,18,29,21,12,11
"지능범죄","증수뢰",전과있음,7범,19,16,12,16,8,11,15,13,15,7
"지능범죄","증수뢰",전과있음,8범,16,7,6,9,8,13,19,15,13,9
"지능범죄","증수뢰",전과있음,9범이상,49,39,32,46,41,62,59,84,43,50
"지능범죄","증수뢰",미상,소계,-,168,173,187,222,170,245,318,254,281
"지능범죄","통화",계,소계,121,163,434,334,286,220,531,255,143,86
"지능범죄","통화",없음,소계,68,31,45,23,33,29,27,16,21,6
"지능범죄","통화",전과있음,소계,53,75,91,77,78,67,115,60,46,22
"지능범죄","통화",전과있음,1범,7,17,26,14,16,13,6,8,8,2
"지능범죄","통화",전과있음,2범,7,11,10,8,9,7,10,4,2,-
"지능범죄","통화",전과있음,3범,7,9,8,6,5,8,6,1,3,5
"지능범죄","통화",전과있음,4범,9,5,5,2,2,4,2,2,5,1
"지능범죄","통화",전과있음,5범,4,3,1,6,3,8,16,9,6,-
"지능범죄","통화",전과있음,6범,3,4,3,1,5,-,19,18,2,1
"지능범죄","통화",전과있음,7범,3,4,8,3,-,-,3,3,4,4
"지능범죄","통화",전과있음,8범,1,6,3,3,5,-,2,-,4,2
"지능범죄","통화",전과있음,9범이상,12,16,27,34,33,27,51,15,12,7
"지능범죄","통화",미상,소계,-,57,298,234,175,124,389,179,76,58
"지능범죄","문서·인장",계,소계,22105,19479,20406,19460,19022,18024,15918,15576,16253,15465
"지능범죄","문서·인장",없음,소계,15909,5309,4809,4107,3918,3798,3254,2878,3192,2705
"지능범죄","문서·인장",전과있음,소계,6196,5664,6362,6343,6117,5767,4826,4393,4398,4257
"지능범죄","문서·인장",전과있음,1범,1615,1465,1560,1402,1372,1268,1049,972,999,915
"지능범죄","문서·인장",전과있음,2범,997,893,919,864,895,875,719,631,613,579
"지능범죄","문서·인장",전과있음,3범,785,680,730,689,685,621,531,483,490,468
"지능범죄","문서·인장",전과있음,4범,504,463,481,548,508,460,410,362,332,352
"지능범죄","문서·인장",전과있음,5범,391,389,465,465,386,412,334,334,285,257
"지능범죄","문서·인장",전과있음,6범,297,287,307,351,275,294,252,221,213,202
"지능범죄","문서·인장",전과있음,7범,242,221,275,276,264,260,199,182,173,187
"지능범죄","문서·인장",전과있음,8범,222,188,198,219,214,183,173,134,124,152
"지능범죄","문서·인장",전과있음,9범이상,1143,1078,1427,1529,1518,1394,1159,1074,1169,1145
"지능범죄","문서·인장",미상,소계,-,8506,9235,9010,8987,8459,7838,8305,8663,8503
"지능범죄","유가증권인지",계,소계,1025,633,548,552,399,373,330,295,208,117
"지능범죄","유가증권인지",없음,소계,721,29,30,30,22,18,20,11,14,6
"지능범죄","유가증권인지",전과있음,소계,304,217,177,207,145,128,127,81,57,39
"지능범죄","유가증권인지",전과있음,1범,25,24,13,20,21,10,13,13,6,5
"지능범죄","유가증권인지",전과있음,2범,30,23,12,23,13,13,8,7,6,5
"지능범죄","유가증권인지",전과있음,3범,25,25,21,22,10,10,9,7,1,2
"지능범죄","유가증권인지",전과있음,4범,29,19,11,12,6,9,11,4,5,-
"지능범죄","유가증권인지",전과있음,5범,28,14,14,11,13,9,9,6,6,4
"지능범죄","유가증권인지",전과있음,6범,19,14,17,11,11,9,5,3,2,1
"지능범죄","유가증권인지",전과있음,7범,9,8,7,12,4,3,10,3,3,1
"지능범죄","유가증권인지",전과있음,8범,8,18,7,9,3,7,4,6,1,3
"지능범죄","유가증권인지",전과있음,9범이상,131,72,75,87,64,58,58,32,27,18
"지능범죄","유가증권인지",미상,소계,-,387,341,315,232,227,183,203,137,72
"지능범죄","사기",계,소계,264634,220887,239309,222173,228205,223210,208482,229854,246160,245009
"지능범죄","사기",없음,소계,183249,25638,23773,24936,26513,27040,26359,30285,36536,35135
"지능범죄","사기",전과있음,소계,81385,78872,84893,85110,88763,86236,81458,87512,95849,96013
"지능범죄","사기",전과있음,1범,13012,12549,12006,12623,13174,12940,12744,14197,15806,15729
"지능범죄","사기",전과있음,2범,9995,9345,9642,9932,10039,10070,9535,10364,11617,11418
"지능범죄","사기",전과있음,3범,8397,7866,8102,8220,8493,8459,7934,8374,9304,9425
"지능범죄","사기",전과있음,4범,6656,6344,6459,6712,6782,6742,6397,6636,7438,7054
"지능범죄","사기",전과있음,5범,5596,5320,5669,5624,5953,5774,5321,5660,6325,6214
"지능범죄","사기",전과있음,6범,4616,4434,4786,4825,5062,4864,4561,4639,4994,4903
"지능범죄","사기",전과있음,7범,3899,3708,4014,3890,4044,3887,3621,3876,4194,4222
"지능범죄","사기",전과있음,8범,3537,3223,3500,3227,3401,3276,3039,3139,3252,3379
"지능범죄","사기",전과있음,9범이상,25677,26083,30715,30057,31815,30224,28306,30627,32919,33669
"지능범죄","사기",미상,소계,-,116377,130643,112127,112929,109934,100665,112057,113775,113861
"지능범죄","횡령",계,소계,31389,29507,32723,31975,35945,35583,33580,35270,35163,35930
"지능범죄","횡령",없음,소계,21773,5348,6201,5799,6890,7419,7788,7730,7774,7933
"지능범죄","횡령",전과있음,소계,9616,10173,11776,11381,13263,13094,12384,12362,12834,13170
"지능범죄","횡령",전과있음,1범,2116,2249,2639,2452,2873,2945,3011,3024,3064,3075
"지능범죄","횡령",전과있음,2범,1524,1512,1823,1744,1969,1984,1988,1906,1896,1984
"지능범죄","횡령",전과있음,3범,1143,1297,1399,1332,1494,1446,1433,1375,1422,1431
"지능범죄","횡령",전과있음,4범,900,947,1111,1009,1219,1150,1035,1023,1071,1076
"지능범죄","횡령",전과있음,5범,680,732,833,796,951,917,808,809,870,880
"지능범죄","횡령",전과있음,6범,573,610,662,629,768,678,661,613,672,741
"지능범죄","횡령",전과있음,7범,411,476,497,515,555,550,484,472,530,555
"지능범죄","횡령",전과있음,8범,391,370,425,397,471,452,383,388,416,398
"지능범죄","횡령",전과있음,9범이상,1878,1980,2387,2507,2963,2972,2581,2752,2893,3030
"지능범죄","횡령",미상,소계,-,13986,14746,14795,15792,15070,13408,15178,14555,14827
"지능범죄","배임",계,소계,7860,7510,8425,9361,8233,7608,7806,8209,8151,8324
"지능범죄","배임",없음,소계,5930,1048,1105,1283,1081,926,1065,970,762,810
"지능범죄","배임",전과있음,소계,1930,1814,2066,2722,1955,1887,1985,1740,1685,1511
"지능범죄","배임",전과있음,1범,495,497,557,754,533,481,527,451,418,394
"지능범죄","배임",전과있음,2범,332,310,381,528,322,377,367,336,293,238
"지능범죄","배임",전과있음,3범,245,265,266,339,259,242,244,204,224,202
"지능범죄","배임",전과있음,4범,206,153,196,255,158,165,172,160,127,125
"지능범죄","배임",전과있음,5범,175,119,148,172,137,130,125,125,113,104
"지능범죄","배임",전과있음,6범,81,95,90,153,110,82,74,65,60,84
"지능범죄","배임",전과있음,7범,65,85,59,101,68,69,85,71,55,58
"지능범죄","배임",전과있음,8범,60,39,56,81,64,52,63,50,65,40
"지능범죄","배임",전과있음,9범이상,271,251,313,339,304,289,328,278,330,266
"지능범죄","배임",미상,소계,-,4648,5254,5356,5197,4795,4756,5499,5704,6003
"풍속범죄","소계",계,소계,61383,50905,48014,41694,41083,45149,35781,32183,33779,34671
"풍속범죄","소계",없음,소계,25370,14597,14938,11960,11710,14949,11135,10131,10670,12355
"풍속범죄","소계",전과있음,소계,36013,32049,28840,25753,26152,27647,21860,19138,19843,18747
"풍속범죄","소계",전과있음,1범,8626,7305,6762,5718,5749,6554,4817,4395,4502,4382
"풍속범죄","소계",전과있음,2범,6384,5445,5069,4289,4389,4793,3650,2965,3176,3028
"풍속범죄","소계",전과있음,3범,4823,4314,3667,3254,3265,3413,2717,2375,2503,2346
"풍속범죄","소계",전과있음,4범,3578,3154,2729,2628,2483,2585,2136,1700,1803,1659
"풍속범죄","소계",전과있음,5범,2726,2456,2154,2008,2052,2007,1585,1392,1532,1314
"풍속범죄","소계",전과있음,6범,2070,1931,1670,1465,1548,1590,1233,1090,1109,992
"풍속범죄","소계",전과있음,7범,1636,1488,1335,1140,1207,1213,948,886,884,817
"풍속범죄","소계",전과있음,8범,1267,1186,1002,908,946,1011,758,674,702,657
"풍속범죄","소계",전과있음,9범이상,4903,4770,4452,4343,4513,4481,4016,3661,3632,3552
"풍속범죄","소계",미상,소계,-,4259,4236,3981,3221,2553,2786,2914,3266,3569
"풍속범죄","성풍속범죄",계,소계,15209,16321,18688,13945,11917,11207,12046,12713,12473,13546
"풍속범죄","성풍속범죄",없음,소계,10732,7376,8949,6097,5383,5705,5803,6086,5840,6871
"풍속범죄","성풍속범죄",전과있음,소계,4477,6297,6903,5265,5011,4665,4973,5143,4970,4814
"풍속범죄","성풍속범죄",전과있음,1범,1722,2100,2368,1817,1593,1452,1554,1701,1545,1532
"풍속범죄","성풍속범죄",전과있음,2범,855,1193,1310,955,875,854,854,845,863,835
"풍속범죄","성풍속범죄",전과있음,3범,520,808,754,556,554,531,537,587,547,541
"풍속범죄","성풍속범죄",전과있음,4범,336,535,531,406,386,349,398,374,358,374
"풍속범죄","성풍속범죄",전과있음,5범,251,386,403,283,278,274,297,297,303,251
"풍속범죄","성풍속범죄",전과있음,6범,176,288,288,211,218,260,234,241,201,210
"풍속범죄","성풍속범죄",전과있음,7범,138,206,219,164,210,132,172,183,185,157
"풍속범죄","성풍속범죄",전과있음,8범,98,198,184,114,152,132,126,124,131,130
"풍속범죄","성풍속범죄",전과있음,9범이상,381,583,846,759,745,681,801,791,837,784
"풍속범죄","성풍속범죄",미상,소계,-,2648,2836,2583,1523,837,1270,1484,1663,1861
"풍속범죄","도박범죄",계,소계,46174,34584,29326,27749,29166,33942,23735,19470,21306,21125
"풍속범죄","도박범죄",없음,소계,14638,7221,5989,5863,6327,9244,5332,4045,4830,5484
"풍속범죄","도박범죄",전과있음,소계,31536,25752,21937,20488,21141,22982,16887,13995,14873,13933
"풍속범죄","도박범죄",전과있음,1범,6904,5205,4394,3901,4156,5102,3263,2694,2957,2850
"풍속범죄","도박범죄",전과있음,2범,5529,4252,3759,3334,3514,3939,2796,2120,2313,2193
"풍속범죄","도박범죄",전과있음,3범,4303,3506,2913,2698,2711,2882,2180,1788,1956,1805
"풍속범죄","도박범죄",전과있음,4범,3242,2619,2198,2222,2097,2236,1738,1326,1445,1285
"풍속범죄","도박범죄",전과있음,5범,2475,2070,1751,1725,1774,1733,1288,1095,1229,1063
"풍속범죄","도박범죄",전과있음,6범,1894,1643,1382,1254,1330,1330,999,849,908,782
"풍속범죄","도박범죄",전과있음,7범,1498,1282,1116,976,997,1081,776,703,699,660
"풍속범죄","도박범죄",전과있음,8범,1169,988,818,794,794,879,632,550,571,527
"풍속범죄","도박범죄",전과있음,9범이상,4522,4187,3606,3584,3768,3800,3215,2870,2795,2768
"풍속범죄","도박범죄",미상,소계,-,1611,1400,1398,1698,1716,1516,1430,1603,1708
"특별경제범죄","소계",계,소계,91622,93427,83308,87648,90356,77669,72452,75348,79175,67904
"특별경제범죄","소계",없음,소계,52857,21638,16371,18490,20815,16644,15852,17313,19662,15690
"특별경제범죄","소계",전과있음,소계,38765,43368,38015,41371,40897,37970,36292,36435,38246,32045
"특별경제범죄","소계",전과있음,1범,9173,9778,7649,8481,8415,7369,7187,7521,8464,6530
"특별경제범죄","소계",전과있음,2범,6147,6739,5711,6044,5899,5284,5150,5127,5436,4440
"특별경제범죄","소계",전과있음,3범,4735,5151,4360,4524,4265,3952,3919,3888,4259,3375
"특별경제범죄","소계",전과있음,4범,3555,3846,3282,3486,3311,3101,2941,3071,3028,2657
"특별경제범죄","소계",전과있음,5범,2706,3020,2606,2812,2745,2511,2398,2408,2560,2032
"특별경제범죄","소계",전과있음,6범,2005,2301,2109,2238,2167,2020,2025,1986,1896,1625
"특별경제범죄","소계",전과있음,7범,1623,1771,1653,1750,1788,1597,1522,1588,1611,1292
"특별경제범죄","소계",전과있음,8범,1371,1470,1337,1414,1509,1284,1247,1235,1208,1031
"특별경제범죄","소계",전과있음,9범이상,7450,9292,9308,10622,10798,10852,9903,9611,9784,9063
"특별경제범죄","소계",미상,소계,-,28421,28922,27787,28644,23055,20308,21600,21267,20169
"마약범죄","소계",계,소계,5409,4731,5049,5264,6913,8443,8512,7677,9875,11630
"마약범죄","소계",없음,소계,1950,972,1167,1349,1784,2270,2240,2241,3227,4445
"마약범죄","소계",전과있음,소계,3459,3370,3490,3437,4440,5275,5428,4656,5716,6160
"마약범죄","소계",전과있음,1범,330,311,379,387,589,774,770,674,988,1171
"마약범죄","소계",전과있음,2범,212,235,245,282,329,404,436,428,609,744
"마약범죄","소계",전과있음,3범,180,167,190,211,299,314,387,365,453,463
"마약범죄","소계",전과있음,4범,177,164,176,184,225,285,312,259,334,374
"마약범죄","소계",전과있음,5범,164,165,159,156,198,249,255,233,279,319
"마약범죄","소계",전과있음,6범,152,147,154,135,169,216,272,193,230,246
"마약범죄","소계",전과있음,7범,160,107,150,131,166,213,193,160,204,214
"마약범죄","소계",전과있음,8범,164,140,124,132,180,191,201,187,185,195
"마약범죄","소계",전과있음,9범이상,1920,1934,1913,1819,2285,2629,2602,2157,2434,2434
"마약범죄","소계",미상,소계,-,389,392,478,689,898,844,780,932,1025
"보건범죄","소계",계,소계,20445,19531,23046,22085,20721,21649,19130,16965,18024,21810
"보건범죄","소계",없음,소계,10332,7258,7887,7829,7001,7809,6903,6500,6758,8202
"보건범죄","소계",전과있음,소계,10113,10154,12796,11776,10851,11052,9244,7577,8399,9854
"보건범죄","소계",전과있음,1범,3268,3285,3900,3360,3343,3406,2890,2302,2455,3022
"보건범죄","소계",전과있음,2범,1957,2074,2498,2288,2058,2220,1850,1495,1596,1813
"보건범죄","소계",전과있음,3범,1320,1381,1706,1657,1381,1481,1176,966,1072,1267
"보건범죄","소계",전과있음,4범,880,861,1176,1135,1001,969,760,616,676,812
"보건범죄","소계",전과있음,5범,641,603,817,757,698,673,556,452,554,605
"보건범죄","소계",전과있음,6범,482,484,617,552,508,454,429,363,385,432
"보건범죄","소계",전과있음,7범,343,309,463,435,378,351,292,280,287,338
"보건범죄","소계",전과있음,8범,242,251,348,324,295,251,209,183,219,265
"보건범죄","소계",전과있음,9범이상,980,906,1271,1268,1189,1247,1082,920,1155,1300
"보건범죄","소계",미상,소계,-,2119,2363,2480,2869,2788,2983,2888,2867,3754
"환경범죄","소계",계,소계,3113,3247,3588,3136,3176,3802,4378,4066,5088,4329
"환경범죄","소계",없음,소계,1065,714,764,702,638,822,888,747,955,719
"환경범죄","소계",전과있음,소계,2048,2087,2412,2039,2127,2525,2913,2685,3377,2944
"환경범죄","소계",전과있음,1범,477,462,516,452,439,556,573,508,534,422
"환경범죄","소계",전과있음,2범,340,362,444,377,349,367,448,409,496,416
"환경범죄","소계",전과있음,3범,246,266,302,223,269,307,332,323,426,317
"환경범죄","소계",전과있음,4범,207,168,232,169,215,219,270,231,305,296
"환경범죄","소계",전과있음,5범,143,161,185,150,168,206,226,200,253,204
"환경범죄","소계",전과있음,6범,107,127,142,133,119,169,149,147,220,170
"환경범죄","소계",전과있음,7범,91,96,92,85,62,98,127,125,143,130
"환경범죄","소계",전과있음,8범,75,78,89,70,79,77,122,106,136,121
"환경범죄","소계",전과있음,9범이상,362,367,410,380,427,526,666,636,864,868
"환경범죄","소계",미상,소계,-,446,412,395,411,455,577,634,756,666
"교통범죄","소계",계,소계,524350,512076,536756,533126,549374,555352,484552,413147,383717,356446
"교통범죄","소계",없음,소계,263154,143579,144153,139321,135060,129526,116138,97557,87467,78667
"교통범죄","소계",전과있음,소계,261196,252207,269280,257373,256453,260429,224631,180884,153183,143557
"교통범죄","소계",전과있음,1범,74162,72948,76308,72588,70354,69073,60565,48734,41134,37206
"교통범죄","소계",전과있음,2범,49783,47217,51006,48492,47339,46899,40975,32584,27037,24515
"교통범죄","소계",전과있음,3범,34949,33255,34915,32883,32373,32859,28334,22560,18981,17964
"교통범죄","소계",전과있음,4범,24351,23337,24777,23495,23907,24147,20356,16476,13768,12928
"교통범죄","소계",전과있음,5범,17657,16829,18344,17345,17454,18368,15237,12151,10313,9687
"교통범죄","소계",전과있음,6범,12978,12588,13546,12970,13086,13925,11733,9150,7785,7363
"교통범죄","소계",전과있음,7범,9658,9420,10270,9579,10028,10300,8731,7338,6267,6032
"교통범죄","소계",전과있음,8범,7558,7284,7724,7376,7543,7971,6789,5439,4574,4409
"교통범죄","소계",전과있음,9범이상,30100,29329,32390,32645,34369,36887,31911,26452,23324,23453
"교통범죄","소계",미상,소계,-,116290,123323,136432,157861,165397,143783,134706,143067,134222
"노동범죄","소계",계,소계,2641,2378,2309,2131,2395,5860,4964,2073,865,613
"노동범죄","소계",없음,소계,1004,714,732,653,881,3021,2485,839,170,134
"노동범죄","소계",전과있음,소계,1637,1460,1363,1207,1290,2439,2008,1000,525,347
"노동범죄","소계",전과있음,1범,388,350,308,264,277,746,626,260,95,73
"노동범죄","소계",전과있음,2범,303,218,252,186,223,420,337,187,74,46
"노동범죄","소계",전과있음,3범,215,185,168,169,175,313,271,136,54,33
"노동범죄","소계",전과있음,4범,156,150,117,139,119,232,199,90,55,27
"노동범죄","소계",전과있음,5범,129,111,115,90,85,154,143,65,36,28
"노동범죄","소계",전과있음,6범,92,79,88,74,55,124,85,55,31,19
"노동범죄","소계",전과있음,7범,70,76,41,43,55,85,62,31,23,23
"노동범죄","소계",전과있음,8범,58,58,41,59,54,73,54,35,19,7
"노동범죄","소계",전과있음,9범이상,226,233,233,183,247,292,231,141,138,91
"노동범죄","소계",미상,소계,-,204,214,271,224,400,471,234,170,132
"안보범죄","소계",계,소계,160,126,152,90,174,151,251,187,545,678
"안보범죄","소계",없음,소계,79,30,34,19,51,28,48,40,155,228
"안보범죄","소계",전과있음,소계,81,82,92,45,93,50,163,96,305,373
"안보범죄","소계",전과있음,1범,19,23,23,5,19,20,45,23,88,97
"안보범죄","소계",전과있음,2범,15,19,20,9,10,1,33,14,61,52
"안보범죄","소계",전과있음,3범,14,15,14,7,13,5,14,19,37,50
"안보범죄","소계",전과있음,4범,6,10,11,2,12,6,16,10,32,45
"안보범죄","소계",전과있음,5범,5,5,6,3,6,4,17,7,15,27
"안보범죄","소계",전과있음,6범,3,3,2,7,10,3,5,3,12,22
"안보범죄","소계",전과있음,7범,4,1,2,2,5,-,4,4,13,13
"안보범죄","소계",전과있음,8범,1,-,2,2,2,1,2,7,9,14
"안보범죄","소계",전과있음,9범이상,14,6,12,8,16,10,27,9,38,53
"안보범죄","소계",미상,소계,-,14,26,26,30,73,40,51,85,77
"선거범죄","소계",계,소계,400,1855,409,2800,1121,1525,787,3280,1180,1545
"선거범죄","소계",없음,소계,221,590,141,777,317,424,271,983,367,354
"선거범죄","소계",전과있음,소계,179,862,185,1276,604,657,375,1289,478,606
"선거범죄","소계",전과있음,1범,55,235,60,337,199,168,83,394,135,173
"선거범죄","소계",전과있음,2범,34,188,30,248,132,127,84,247,87,127
"선거범죄","소계",전과있음,3범,28,150,21,194,82,88,46,154,72,70
"선거범죄","소계",전과있음,4범,17,68,17,118,65,72,36,112,53,53
"선거범죄","소계",전과있음,5범,12,57,5,91,39,44,33,82,34,27
"선거범죄","소계",전과있음,6범,7,34,19,66,23,32,12,60,21,20
"선거범죄","소계",전과있음,7범,8,27,8,46,12,19,12,42,19,28
"선거범죄","소계",전과있음,8범,5,24,9,29,15,17,9,34,13,21
"선거범죄","소계",전과있음,9범이상,13,79,16,147,37,90,60,164,44,87
"선거범죄","소계",미상,소계,-,403,83,747,200,444,141,1008,335,585
"병역범죄","소계",계,소계,22752,18359,23200,18523,18241,15659,14574,13254,11809,3164
"병역범죄","소계",없음,소계,13684,7120,9090,6678,6283,5799,6048,5491,4952,908
"병역범죄","소계",전과있음,소계,9068,10086,12385,11063,11213,9217,7957,7155,6304,1977
"병역범죄","소계",전과있음,1범,2697,3104,3719,3209,3052,2627,2374,2159,1848,453
"병역범죄","소계",전과있음,2범,1782,1969,2409,2143,2127,1747,1477,1390,1199,389
"병역범죄","소계",전과있음,3범,1304,1380,1676,1450,1535,1197,1050,956,778,264
"병역범죄","소계",전과있음,4범,875,1016,1115,1110,1069,868,765,612,583,214
"병역범죄","소계",전과있음,5범,628,657,838,762,782,686,546,485,432,146
"병역범죄","소계",전과있음,6범,456,483,664,578,588,491,401,322,345,118
"병역범죄","소계",전과있음,7범,297,335,464,427,483,359,288,268,237,74
"병역범죄","소계",전과있음,8범,231,276,373,320,317,244,244,176,180,68
"병역범죄","소계",전과있음,9범이상,798,866,1127,1064,1260,998,812,787,702,251
"병역범죄","소계",미상,소계,-,1153,1725,782,745,643,569,608,553,279
"기타범죄","소계",계,소계,224781,208432,213524,230854,241747,310870,272830,247023,256000,244539
"기타범죄","소계",없음,소계,110780,57594,56907,61140,63178,84720,71141,61224,63872,59401
"기타범죄","소계",전과있음,소계,114001,108786,111118,119072,120894,156337,134676,114724,116287,109327
"기타범죄","소계",전과있음,1범,29517,26614,26464,28304,28618,37273,31646,26607,27000,25150
"기타범죄","소계",전과있음,2범,19492,18223,18523,19879,19997,25565,21957,18505,18594,16945
"기타범죄","소계",전과있음,3범,14577,13608,13406,14417,14553,18322,16168,13542,13524,12702
"기타범죄","소계",전과있음,4범,10265,9922,10033,10490,10606,13676,12125,9875,10049,9314
"기타범죄","소계",전과있음,5범,7758,7563,7646,8002,8336,10781,9127,7842,7950,7332
"기타범죄","소계",전과있음,6범,5940,5665,5876,6310,6403,8402,7337,6105,6031,5671
"기타범죄","소계",전과있음,7범,4532,4589,4587,4815,4814,6585,5525,4886,4841,4587
"기타범죄","소계",전과있음,8범,3841,3569,3736,4011,4037,5191,4344,3710,3801,3640
"기타범죄","소계",전과있음,9범이상,18079,19033,20847,22844,23530,30542,26447,23652,24497,23986
"기타범죄","소계",미상,소계,-,42052,45499,50642,57675,69813,67013,71075,75841,75811
