시도명,항목,19년_토양오염,20년_토양오염
강원도,As,7.0128374,2.8785777
강원도,Cd,0.11255814,0.07
강원도,Cr6+,0.035348836,0.009333333
강원도,Cu,19.508837,78.711555
강원도,Hg,0.02627907,0.03528889
강원도,Ni,15.120931,16.862223
강원도,Pb,19.204185,21.214222
강원도,Zn,79.41489,118.24045
강원도,pH,7.1544185,7.515111
경기도,As,21.749561,6.9330897
경기도,Cd,0.2698901,0.2538966
경기도,Cr6+,0.0929945,0.23354352
경기도,Cu,33.294506,93.03354
경기도,Hg,0.1250412,0.02034048
경기도,Ni,27.020908,25.542118
경기도,Pb,35.27665,47.23758
경기도,Zn,136.6773,220.14502
경기도,pH,7.563431,8.035435
경상남도,As,5.489692,7.0409045
경상남도,Cd,0.26307693,0.32366833
경상남도,Cr6+,0.0,0.0
경상남도,Cu,44.12718,27.281406
경상남도,Hg,0.013897436,0.02155779
경상남도,Ni,12.815385,15.221608
경상남도,Pb,29.099487,30.737688
경상남도,Zn,125.19743,120.82462
경상남도,pH,7.154872,7.031658
경상북도,As,5.448848,5.401103
경상북도,Cd,0.120074354,0.21834558
경상북도,Cr6+,0.0,0.0
경상북도,Cu,27.366915,22.966911
경상북도,Hg,0.011412639,0.0045955884
경상북도,Ni,14.362825,13.534926
경상북도,Pb,22.34052,22.12647
경상북도,Zn,133.83829,130.33566
경상북도,pH,7.295539,7.376103
광주광역시,As,0.025104167,0.0
광주광역시,Cd,2.404271,2.8281
광주광역시,Cr6+,0.203125,0.024
광주광역시,Cu,11.290625,11.256
광주광역시,Hg,0.024583332,0.0189
광주광역시,Ni,6.5645833,7.226
광주광역시,Pb,19.578125,16.632
광주광역시,Zn,90.07708,105.577
광주광역시,pH,6.00625,5.72
대구광역시,As,3.76547,2.4702587
대구광역시,Cd,0.13752137,0.054913793
대구광역시,Cr6+,0.20598291,0.08017241
대구광역시,Cu,14.835897,15.619827
대구광역시,Hg,0.027521368,0.03672414
대구광역시,Ni,8.337606,9.306034
대구광역시,Pb,15.835897,17.20345
대구광역시,Zn,55.14359,63.722412
대구광역시,pH,7.062393,7.075
대전광역시,As,2.5533051,2.1682568
대전광역시,Cd,0.820678,1.2288073
대전광역시,Cr6+,0.029661017,0.059633028
대전광역시,Cu,17.366102,29.540367
대전광역시,Hg,0.04483051,0.00293578
대전광역시,Ni,8.96017,9.286239
대전광역시,Pb,32.47373,32.88257
대전광역시,Zn,106.07458,125.47156
대전광역시,pH,6.874576,7.17156
부산광역시,As,8.283099,8.618
부산광역시,Cd,1.5718129,1.4872353
부산광역시,Cr6+,0.00877193,0.049411763
부산광역시,Cu,39.853218,30.167646
부산광역시,Hg,0.06134503,0.03864706
부산광역시,Ni,11.685965,10.414118
부산광역시,Pb,52.607018,46.991764
부산광역시,Zn,180.15088,159.44412
부산광역시,pH,7.9128656,7.9241176
서울특별시,As,6.1143,5.4826074
서울특별시,Cd,0.29903334,0.30702454
서울특별시,Cr6+,0.027999999,0.05429448
서울특별시,Cu,54.642666,58.285583
서울특별시,Hg,0.102233335,0.12174847
서울특별시,Ni,21.594334,21.121473
서울특별시,Pb,46.955666,37.114723
서울특별시,Zn,116.604,130.93864
서울특별시,pH,8.132086,8.508839
세종특별자치시도,As,1.8113333,4.0426664
세종특별자치시도,Cd,0.37733334,0.38533333
세종특별자치시도,Cr6+,0.093333334,0.0
세종특별자치시도,Cu,17.953333,23.966667
세종특별자치시도,Hg,0.014666666,0.066
세종특별자치시도,Ni,14.18,19.253334
세종특별자치시도,Pb,24.826666,20.793333
세종특별자치시도,Zn,104.253334,100.13333
세종특별자치시도,pH,6.36,8.433333
울산광역시,As,4.9591665,6.3481817
울산광역시,Cd,1.4565278,1.5481818
울산광역시,Cr6+,0.019444443,0.012987013
울산광역시,Cu,36.734722,47.931168
울산광역시,Hg,0.07472222,0.05142857
울산광역시,Ni,14.263889,13.27013
울산광역시,Pb,45.82222,45.015583
울산광역시,Zn,152.85556,156.25066
울산광역시,pH,7.9625,7.105195
인천광역시,As,6.4396,5.777222
인천광역시,Cd,0.3856,0.30122223
인천광역시,Cr6+,0.075,0.0055555557
인천광역시,Cu,114.568,52.71111
인천광역시,Hg,0.1174,0.05088889
인천광역시,Ni,25.187,24.445555
인천광역시,Pb,79.709,47.88333
인천광역시,Zn,325.124,202.54333
인천광역시,pH,7.168,7.1422224
전라남도,As,3.8934686,7.8352313
전라남도,Cd,0.13204461,3.2456584
전라남도,Cr6+,0.7032967,0.14733095
전라남도,Cu,11.376642,20.520641
전라남도,Hg,0.017316176,0.030996442
전라남도,Ni,6.477372,12.395373
전라남도,Pb,18.230291,22.605694
전라남도,Zn,140.10913,98.14306
전라남도,pH,7.0350366,7.4380784
전라북도,As,6.5345335,4.4950323
전라북도,Cd,1.4359334,0.9862581
전라북도,Cr6+,0.0,0.0
전라북도,Cu,23.872667,15.209678
전라북도,Hg,0.0476,0.025741935
전라북도,Ni,11.798667,8.154194
전라북도,Pb,25.443333,20.216774
전라북도,Zn,143.474,91.69226
전라북도,pH,6.5866666,6.9412904
제주특별자치도,As,4.622605,4.8738184
제주특별자치도,Cd,1.0541177,1.0462728
제주특별자치도,Cr6+,0.18907563,0.6309091
제주특별자치도,Cu,74.116806,54.303635
제주특별자치도,Hg,0.07,0.06836364
제주특별자치도,Ni,53.57983,48.843636
제주특별자치도,Pb,20.781513,21.969091
제주특별자치도,Zn,168.07562,163.28273
제주특별자치도,pH,6.6563025,7.1
충청남도,As,2.8363159,2.9384582
충청남도,Cd,1.641834,0.43193832
충청남도,Cr6+,0.048034936,0.028634362
충청남도,Cu,43.55415,28.548899
충청남도,Hg,0.039868996,0.092731275
충청남도,Ni,18.57511,20.188547
충청남도,Pb,29.806114,26.720705
충청남도,Zn,145.09213,111.461235
충청남도,pH,7.0842795,7.151965
충청북도,As,3.5772257,4.80549
충청북도,Cd,0.34,0.43601307
충청북도,Cr6+,0.16193548,0.0
충청북도,Cu,13.94258,20.355556
충청북도,Hg,0.008322581,0.0018954249
충청북도,Ni,12.916774,14.0143795
충청북도,Pb,20.951612,18.920261
충청북도,Zn,83.589676,87.86471
충청북도,pH,6.712258,7.088889
