시도,항목,19년도_평균,19년도_중앙치,19년도_최댓값,19년도_최솟값,20년도_평균,20년도_중앙치,20년도_최댓값,20년도_최솟값
강원도,As,7.0128374,4.41,88.75,0.0,2.8785777,1.56,45.7,0.0
강원도,Cd,0.11255814,0.0,3.75,0.0,0.07,0.0,1.35,0.0
강원도,Cr6+,0.035348836,0.0,1.0,0.0,0.009333333,0.0,2.1,0.0
강원도,Cu,19.508837,14.4,328.3,0.0,78.711555,17.0,11037.5,1.6
강원도,Hg,0.02627907,0.01,0.21,0.0,0.03528889,0.02,0.55,0.0
강원도,Ni,15.120931,10.8,215.0,0.5,16.862223,11.2,186.1,1.3
강원도,Pb,19.204185,15.9,87.2,3.0,21.214222,15.0,380.0,4.0
강원도,Zn,79.41489,69.2,509.2,0.0,118.24045,81.9,2718.8,14.4
강원도,pH,7.1544185,7.2,10.7,4.5,7.515111,7.7,9.6,3.7
경기도,As,21.749561,3.39,12097.25,0.0,6.9330897,4.03,467.36,0.0
경기도,Cd,0.2698901,0.11,66.69,0.0,0.2538966,0.14,25.37,0.0
경기도,Cr6+,0.0929945,0.0,4.6,0.0,0.23354352,0.0,18.2,0.0
경기도,Cu,33.294506,23.8,1951.1,0.0,93.03354,28.7,40265.2,0.0
경기도,Hg,0.1250412,0.0,2.66,0.0,0.02034048,0.0,2.42,0.0
경기도,Ni,27.020908,23.9,387.3,0.0,25.542118,22.4,306.7,0.9
경기도,Pb,35.27665,21.0,2067.5,0.0,47.23758,21.7,4114.9,1.9
경기도,Zn,136.6773,93.9,1748.4,15.4,220.14502,94.4,28488.9,14.8
경기도,pH,7.563431,7.6,9.4,5.4,8.035435,8.1,10.9,4.5
경상남도,As,5.489692,3.3,44.04,0.0,7.0409045,4.46,76.28,0.0
경상남도,Cd,0.26307693,0.19,4.54,0.0,0.32366833,0.23,2.9,0.0
경상남도,Cr6+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,Cu,44.12718,37.0,474.7,0.0,27.281406,19.4,291.4,0.0
경상남도,Hg,0.013897436,0.01,0.12,0.0,0.02155779,0.0,0.36,0.0
경상남도,Ni,12.815385,10.8,74.9,0.0,15.221608,12.0,343.7,0.7
경상남도,Pb,29.099487,20.9,347.1,0.0,30.737688,22.2,163.0,3.4
경상남도,Zn,125.19743,95.0,1131.0,1.4,120.82462,90.0,910.3,13.6
경상남도,pH,7.154872,7.3,9.4,2.4,7.031658,7.0,10.2,3.5
경상북도,As,5.448848,3.68,38.73,0.0,5.401103,4.17,24.6,0.0
경상북도,Cd,0.120074354,0.0,2.68,0.0,0.21834558,0.14,4.12,0.0
경상북도,Cr6+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,Cu,27.366915,11.7,916.7,0.0,22.966911,15.95,320.3,0.0
경상북도,Hg,0.011412639,0.0,0.97,0.0,0.0045955884,0.0,0.4,0.0
경상북도,Ni,14.362825,10.0,382.1,0.0,13.534926,10.9,107.6,0.0
경상북도,Pb,22.34052,13.9,550.1,0.0,22.12647,14.299999,225.3,0.0
경상북도,Zn,133.83829,87.4,1319.0,17.3,130.33566,94.05,1361.0,23.0
경상북도,pH,7.295539,7.5,10.1,2.9,7.376103,7.5,10.7,3.3
광주광역시,As,0.025104167,0.0,2.41,0.0,0.0,0.0,0.0,0.0
광주광역시,Cd,2.404271,2.335,4.67,0.51,2.8281,2.7,4.95,0.87
광주광역시,Cr6+,0.203125,0.0,4.2,0.0,0.024,0.0,1.2,0.0
광주광역시,Cu,11.290625,5.4,154.4,0.0,11.256,6.2,287.4,0.0
광주광역시,Hg,0.024583332,0.02,0.19,0.0,0.0189,0.01,0.17,0.0
광주광역시,Ni,6.5645833,5.4,22.3,0.4,7.226,6.5,34.3,0.0
광주광역시,Pb,19.578125,16.849998,75.5,2.5,16.632,12.15,129.0,0.0
광주광역시,Zn,90.07708,69.649994,515.6,23.7,105.577,88.45,948.3,40.4
광주광역시,pH,6.00625,6.05,7.9,3.9,5.72,5.9,8.2,3.7
대구광역시,As,3.76547,0.0,115.34,0.0,2.4702587,2.0149999,17.17,0.0
대구광역시,Cd,0.13752137,0.1,2.39,0.0,0.054913793,0.0,0.48,0.0
대구광역시,Cr6+,0.20598291,0.0,1.8,0.0,0.08017241,0.0,1.2,0.0
대구광역시,Cu,14.835897,10.6,251.9,0.0,15.619827,11.200001,154.0,1.7
대구광역시,Hg,0.027521368,0.01,0.52,0.0,0.03672414,0.02,0.49,0.0
대구광역시,Ni,8.337606,7.2,85.4,1.5,9.306034,8.05,76.8,0.9
대구광역시,Pb,15.835897,12.9,227.9,0.0,17.20345,14.049999,124.4,1.9
대구광역시,Zn,55.14359,49.6,201.2,11.6,63.722412,50.85,402.7,13.9
대구광역시,pH,7.062393,7.2,9.3,4.9,7.075,7.0,8.8,4.9
대전광역시,As,2.5533051,0.0,35.77,0.0,2.1682568,0.0,45.48,0.0
대전광역시,Cd,0.820678,0.77,2.33,0.33,1.2288073,1.19,2.68,0.45
대전광역시,Cr6+,0.029661017,0.0,1.3,0.0,0.059633028,0.0,0.7,0.0
대전광역시,Cu,17.366102,9.8,438.7,0.0,29.540367,16.2,406.5,1.0
대전광역시,Hg,0.04483051,0.0,3.48,0.0,0.00293578,0.0,0.18,0.0
대전광역시,Ni,8.96017,6.8500004,54.1,0.0,9.286239,7.7,48.5,0.6
대전광역시,Pb,32.47373,24.6,257.6,5.0,32.88257,18.0,649.3,5.1
대전광역시,Zn,106.07458,93.0,441.7,32.4,125.47156,95.9,764.5,51.4
대전광역시,pH,6.874576,7.0,8.4,5.0,7.17156,7.2,9.0,4.7
부산광역시,As,8.283099,6.92,37.04,1.94,8.618,7.1,31.66,2.11
부산광역시,Cd,1.5718129,1.5,3.73,0.4,1.4872353,1.4,5.1,0.47
부산광역시,Cr6+,0.00877193,0.0,0.5,0.0,0.049411763,0.0,8.4,0.0
부산광역시,Cu,39.853218,22.9,515.3,5.2,30.167646,22.650002,222.9,5.5
부산광역시,Hg,0.06134503,0.03,1.08,0.0,0.03864706,0.02,0.87,0.0
부산광역시,Ni,11.685965,9.4,106.4,2.9,10.414118,8.9,35.9,1.7
부산광역시,Pb,52.607018,28.5,901.9,4.5,46.991764,28.099998,482.1,8.7
부산광역시,Zn,180.15088,119.3,2749.1,25.1,159.44412,111.5,1244.7,30.9
부산광역시,pH,7.9128656,8.1,9.8,4.0,7.9241176,7.9,10.9,4.7
서울특별시,As,6.1143,5.4700003,31.61,0.0,5.4826074,4.34,36.72,0.0
서울특별시,Cd,0.29903334,0.24,2.79,0.0,0.30702454,0.23,2.04,0.0
서울특별시,Cr6+,0.027999999,0.0,1.8,0.0,0.05429448,0.0,12.4,0.0
서울특별시,Cu,54.642666,32.0,3213.6,0.0,58.285583,31.650002,1993.5,3.0
서울특별시,Hg,0.102233335,0.04,2.0,0.0,0.12174847,0.04,5.63,0.0
서울특별시,Ni,21.594334,19.8,115.2,0.4,21.121473,18.2,136.8,2.4
서울특별시,Pb,46.955666,23.2,2379.3,1.8,37.114723,22.8,1091.7,7.8
서울특별시,Zn,116.604,97.649994,814.4,33.7,130.93864,99.25,1238.3,25.5
서울특별시,pH,8.132086,8.2,11.8,4.2,8.508839,8.55,12.5,4.1
세종특별자치시도,As,1.8113333,1.53,5.2,0.0,4.0426664,4.37,8.88,0.0
세종특별자치시도,Cd,0.37733334,0.31,1.38,0.2,0.38533333,0.32,1.04,0.19
세종특별자치시도,Cr6+,0.093333334,0.0,0.8,0.0,0.0,0.0,0.0,0.0
세종특별자치시도,Cu,17.953333,12.2,45.4,6.4,23.966667,17.1,87.3,4.3
세종특별자치시도,Hg,0.014666666,0.0,0.22,0.0,0.066,0.06,0.16,0.0
세종특별자치시도,Ni,14.18,11.8,38.9,4.7,19.253334,14.0,59.6,5.9
세종특별자치시도,Pb,24.826666,17.4,88.0,9.0,20.793333,14.7,68.6,5.2
세종특별자치시도,Zn,104.253334,98.5,249.4,46.2,100.13333,88.1,194.2,41.0
세종특별자치시도,pH,6.36,6.7,9.0,4.1,8.433333,8.6,9.6,6.7
울산광역시,As,4.9591665,0.0,44.79,0.0,6.3481817,0.0,82.42,0.0
울산광역시,Cd,1.4565278,1.2049999,11.0,0.31,1.5481818,1.38,3.55,0.34
울산광역시,Cr6+,0.019444443,0.0,0.9,0.0,0.012987013,0.0,1.0,0.0
울산광역시,Cu,36.734722,22.05,345.0,0.0,47.931168,24.7,798.6,0.0
울산광역시,Hg,0.07472222,0.0,0.93,0.0,0.05142857,0.0,1.46,0.0
울산광역시,Ni,14.263889,11.35,79.5,1.9,13.27013,13.0,56.9,1.9
울산광역시,Pb,45.82222,26.4,634.1,4.9,45.015583,32.5,238.2,4.9
울산광역시,Zn,152.85556,94.1,786.8,24.9,156.25066,124.6,704.9,23.9
울산광역시,pH,7.9625,7.9,10.8,6.3,7.105195,6.9,9.3,5.1
인천광역시,As,6.4396,4.8900003,35.64,0.0,5.777222,4.4449997,52.47,0.0
인천광역시,Cd,0.3856,0.29,1.93,0.0,0.30122223,0.215,2.3,0.0
인천광역시,Cr6+,0.075,0.0,3.1,0.0,0.0055555557,0.0,0.5,0.0
인천광역시,Cu,114.568,35.1,1218.9,3.9,52.71111,34.949997,318.9,3.4
인천광역시,Hg,0.1174,0.045,1.44,0.0,0.05088889,0.04,0.17,0.0
인천광역시,Ni,25.187,20.9,124.9,1.1,24.445555,20.05,195.5,2.1
인천광역시,Pb,79.709,38.4,603.5,6.4,47.88333,32.55,184.0,8.3
인천광역시,Zn,325.124,129.2,3223.9,16.7,202.54333,125.399994,894.1,39.9
인천광역시,pH,7.168,7.3,9.4,4.8,7.1422224,7.05,9.7,4.5
전라남도,As,3.8934686,2.75,41.69,0.0,7.8352313,5.78,53.81,0.0
전라남도,Cd,0.13204461,0.0,14.47,0.0,3.2456584,3.16,9.75,0.0
전라남도,Cr6+,0.7032967,0.0,6.7,0.0,0.14733095,0.0,2.8,0.0
전라남도,Cu,11.376642,7.6,118.1,0.0,20.520641,13.7,437.9,0.0
전라남도,Hg,0.017316176,0.01,0.21,0.0,0.030996442,0.01,2.05,0.0
전라남도,Ni,6.477372,3.5,133.7,0.0,12.395373,9.6,90.1,0.0
전라남도,Pb,18.230291,10.75,656.7,2.5,22.605694,17.2,310.7,0.0
전라남도,Zn,140.10913,40.0,15868.2,0.0,98.14306,69.7,1734.6,0.0
전라남도,pH,7.0350366,6.9,10.7,4.7,7.4380784,7.4,11.2,4.7
전라북도,As,6.5345335,4.94,42.97,1.56,4.4950323,2.71,120.46,0.0
전라북도,Cd,1.4359334,1.335,6.01,0.0,0.9862581,0.83,3.7,0.13
전라북도,Cr6+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전라북도,Cu,23.872667,13.799999,407.7,0.0,15.209678,6.1,699.3,0.0
전라북도,Hg,0.0476,0.02,1.76,0.0,0.025741935,0.02,0.16,0.0
전라북도,Ni,11.798667,9.65,114.5,0.0,8.154194,5.0,98.1,0.0
전라북도,Pb,25.443333,19.2,170.4,5.4,20.216774,12.7,406.3,2.6
전라북도,Zn,143.474,98.100006,1739.3,22.9,91.69226,55.6,1665.0,7.7
전라북도,pH,6.5866666,6.6,8.5,5.3,6.9412904,7.0,8.1,5.4
제주특별자치도,As,4.622605,4.49,9.24,0.0,4.8738184,4.925,9.07,0.0
제주특별자치도,Cd,1.0541177,1.0,3.68,0.56,1.0462728,1.04,1.69,0.54
제주특별자치도,Cr6+,0.18907563,0.0,2.0,0.0,0.6309091,0.0,2.9,0.0
제주특별자치도,Cu,74.116806,40.0,1655.5,13.8,54.303635,40.85,279.3,17.5
제주특별자치도,Hg,0.07,0.06,0.23,0.0,0.06836364,0.06,0.29,0.0
제주특별자치도,Ni,53.57983,51.0,131.0,20.2,48.843636,47.9,108.3,20.4
제주특별자치도,Pb,20.781513,11.7,385.9,3.0,21.969091,14.700001,91.5,2.9
제주특별자치도,Zn,168.07562,88.6,1797.4,48.4,163.28273,128.55,1111.6,49.8
제주특별자치도,pH,6.6563025,6.7,8.4,4.3,7.1,7.2,8.6,5.4
충청남도,As,2.8363159,0.0,94.1,0.0,2.9384582,0.0,74.8,0.0
충청남도,Cd,1.641834,1.33,17.53,0.2,0.43193832,0.37,3.97,0.0
충청남도,Cr6+,0.048034936,0.0,1.0,0.0,0.028634362,0.0,1.5,0.0
충청남도,Cu,43.55415,16.8,1765.3,0.0,28.548899,18.7,564.7,1.1
충청남도,Hg,0.039868996,0.02,0.54,0.0,0.092731275,0.04,9.23,0.0
충청남도,Ni,18.57511,14.7,70.8,1.3,20.188547,14.8,134.6,0.0
충청남도,Pb,29.806114,20.6,569.3,2.2,26.720705,22.7,191.6,0.0
충청남도,Zn,145.09213,85.3,3954.7,7.9,111.461235,83.0,1271.7,15.0
충청남도,pH,7.0842795,7.0,9.9,4.2,7.151965,7.3,9.4,4.6
충청북도,As,3.5772257,2.32,42.12,0.0,4.80549,2.53,130.1,0.0
충청북도,Cd,0.34,0.28,3.44,0.0,0.43601307,0.31,3.7,0.12
충청북도,Cr6+,0.16193548,0.0,2.6,0.0,0.0,0.0,0.0,0.0
충청북도,Cu,13.94258,10.1,81.7,0.0,20.355556,12.4,589.9,0.0
충청북도,Hg,0.008322581,0.0,0.2,0.0,0.0018954249,0.0,0.18,0.0
충청북도,Ni,12.916774,8.1,72.4,0.8,14.0143795,9.5,57.7,1.4
충청북도,Pb,20.951612,17.2,174.3,4.6,18.920261,17.0,106.9,4.6
충청북도,Zn,83.589676,78.6,205.1,27.3,87.86471,77.0,333.7,37.3
충청북도,pH,6.712258,6.8,9.3,4.0,7.088889,7.2,8.7,4.4
