"특성별(1)","특성별(2)","특성별(3)",특성별(4),배달앱및대행별(1),이용여부및비용별(1),이용여부및비용별(2),2019,2020
"전체","소계","소계",소계,배달앱,이용여부 (%),예,11.2,19.9
"전체","소계","소계",소계,배달앱,이용여부 (%),아니오,88.8,80.1
"전체","소계","소계",소계,배달앱,월평균 비용,5만원 미만 (%),4.7,5.6
"전체","소계","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),23.0,24.9
"전체","소계","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),55.6,47.1
"전체","소계","소계",소계,배달앱,월평균 비용,50만원 이상 (%),16.8,18.3
"전체","소계","소계",소계,배달앱,월평균 비용,모름 (%),-,4.2
"전체","소계","소계",소계,배달앱,월평균 비용,평균 (원),318230.4,360436.1
"전체","소계","소계",소계,배달대행,이용여부 (%),예,10.0,15.4
"전체","소계","소계",소계,배달대행,이용여부 (%),아니오,90.0,84.6
"전체","소계","소계",소계,배달대행,월평균 비용,5만원 미만 (%),7.1,7.2
"전체","소계","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),17.5,13.7
"전체","소계","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),37.1,38.0
"전체","소계","소계",소계,배달대행,월평균 비용,50만원 이상 (%),38.3,36.6
"전체","소계","소계",소계,배달대행,월평균 비용,모름 (%),-,4.4
"전체","소계","소계",소계,배달대행,월평균 비용,평균 (원),611564.5,1140045.3
"업종별","일반음식점","소계",소계,배달앱,이용여부 (%),예,9.4,17.0
"업종별","일반음식점","소계",소계,배달앱,이용여부 (%),아니오,90.6,83.0
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,5만원 미만 (%),4.1,5.9
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),27.1,22.4
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),48.1,51.2
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,50만원 이상 (%),20.7,16.4
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,모름 (%),-,4.1
"업종별","일반음식점","소계",소계,배달앱,월평균 비용,평균 (원),338719.6,353124.7
"업종별","일반음식점","소계",소계,배달대행,이용여부 (%),예,8.9,13.5
"업종별","일반음식점","소계",소계,배달대행,이용여부 (%),아니오,91.1,86.5
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,5만원 미만 (%),5.4,5.4
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),19.6,13.7
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),45.1,43.7
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,50만원 이상 (%),29.9,33.5
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,모름 (%),-,3.7
"업종별","일반음식점","소계",소계,배달대행,월평균 비용,평균 (원),525302.2,1388986.5
"업종별","일반음식점","한식",소계,배달앱,이용여부 (%),예,6.9,13.7
"업종별","일반음식점","한식",소계,배달앱,이용여부 (%),아니오,93.1,86.3
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,5만원 미만 (%),2.9,4.3
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),17.6,21.6
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),52.3,54.4
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,50만원 이상 (%),27.3,16.2
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,모름 (%),-,3.5
"업종별","일반음식점","한식",소계,배달앱,월평균 비용,평균 (원),392673.1,356608.9
"업종별","일반음식점","한식",소계,배달대행,이용여부 (%),예,8.0,11.3
"업종별","일반음식점","한식",소계,배달대행,이용여부 (%),아니오,92.0,88.7
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,5만원 미만 (%),5.4,4.6
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),21.5,12.8
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),48.1,46.1
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,50만원 이상 (%),25.0,33.3
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,모름 (%),-,3.2
"업종별","일반음식점","한식",소계,배달대행,월평균 비용,평균 (원),500659.1,1425614.9
"업종별","일반음식점","중식",소계,배달앱,이용여부 (%),예,37.2,36.0
"업종별","일반음식점","중식",소계,배달앱,이용여부 (%),아니오,62.8,64.0
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,5만원 미만 (%),6.8,12.6
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),42.3,11.7
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),44.1,49.6
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,50만원 이상 (%),6.8,18.9
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,모름 (%),-,7.2
"업종별","일반음식점","중식",소계,배달앱,월평균 비용,평균 (원),235943.5,373188.9
"업종별","일반음식점","중식",소계,배달대행,이용여부 (%),예,18.9,23.2
"업종별","일반음식점","중식",소계,배달대행,이용여부 (%),아니오,81.1,76.8
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,5만원 미만 (%),3.5,0.0
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),6.7,18.7
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),36.4,36.8
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,50만원 이상 (%),53.4,34.2
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,모름 (%),-,10.3
"업종별","일반음식점","중식",소계,배달대행,월평균 비용,평균 (원),721372.8,2161279.1
"업종별","일반음식점","일식",소계,배달앱,이용여부 (%),예,15.7,43.0
"업종별","일반음식점","일식",소계,배달앱,이용여부 (%),아니오,84.3,57.0
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,5만원 미만 (%),8.4,6.9
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),37.0,37.3
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),25.1,36.4
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,50만원 이상 (%),29.5,16.3
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,모름 (%),-,3.0
"업종별","일반음식점","일식",소계,배달앱,월평균 비용,평균 (원),382619.0,328540.0
"업종별","일반음식점","일식",소계,배달대행,이용여부 (%),예,13.0,33.0
"업종별","일반음식점","일식",소계,배달대행,이용여부 (%),아니오,87.0,67.0
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,5만원 미만 (%),5.3,17.0
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),20.1,17.3
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),38.1,32.9
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,50만원 이상 (%),36.5,32.8
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점","일식",소계,배달대행,월평균 비용,평균 (원),441226.0,545522.5
"업종별","일반음식점","서양식",소계,배달앱,이용여부 (%),예,12.2,34.5
"업종별","일반음식점","서양식",소계,배달앱,이용여부 (%),아니오,87.8,65.5
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,3.2
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),63.2,30.2
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),36.2,48.9
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,50만원 이상 (%),0.6,13.9
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,모름 (%),-,3.8
"업종별","일반음식점","서양식",소계,배달앱,월평균 비용,평균 (원),150165.0,347108.4
"업종별","일반음식점","서양식",소계,배달대행,이용여부 (%),예,8.6,26.3
"업종별","일반음식점","서양식",소계,배달대행,이용여부 (%),아니오,91.4,73.7
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,5만원 미만 (%),14.6,8.1
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),35.7,8.3
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),23.8,42.8
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,50만원 이상 (%),26.0,40.3
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,모름 (%),-,0.4
"업종별","일반음식점","서양식",소계,배달대행,월평균 비용,평균 (원),325424.8,1075143.6
"업종별","일반음식점","기타 외국식",소계,배달앱,이용여부 (%),예,8.0,19.9
"업종별","일반음식점","기타 외국식",소계,배달앱,이용여부 (%),아니오,92.0,80.1
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,5만원 미만 (%),0.0,23.9
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),5.2,34.1
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),66.5,17.6
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,50만원 이상 (%),28.3,12.2
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,모름 (%),-,12.2
"업종별","일반음식점","기타 외국식",소계,배달앱,월평균 비용,평균 (원),312090.6,167259.6
"업종별","일반음식점","기타 외국식",소계,배달대행,이용여부 (%),예,5.2,16.3
"업종별","일반음식점","기타 외국식",소계,배달대행,이용여부 (%),아니오,94.8,83.7
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,5만원 미만 (%),0.0,0.0
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),0.0,20.2
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),37.2,48.6
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,50만원 이상 (%),62.8,14.9
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,모름 (%),-,16.3
"업종별","일반음식점","기타 외국식",소계,배달대행,월평균 비용,평균 (원),645878.4,675044.4
"업종별","일반음식점 외","소계",소계,배달앱,이용여부 (%),예,13.1,23.0
"업종별","일반음식점 외","소계",소계,배달앱,이용여부 (%),아니오,86.9,77.0
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,5만원 미만 (%),5.2,5.3
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),19.7,26.8
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),61.5,43.8
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,50만원 이상 (%),13.6,19.8
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,모름 (%),-,4.3
"업종별","일반음식점 외","소계",소계,배달앱,월평균 비용,평균 (원),301942.9,366326.2
"업종별","일반음식점 외","소계",소계,배달대행,이용여부 (%),예,11.2,17.6
"업종별","일반음식점 외","소계",소계,배달대행,이용여부 (%),아니오,88.8,82.4
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,5만원 미만 (%),8.6,8.7
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),15.7,13.8
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),29.9,33.4
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,50만원 이상 (%),45.7,39.1
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,모름 (%),-,5.0
"업종별","일반음식점 외","소계",소계,배달대행,월평균 비용,평균 (원),687662.7,930372.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달앱,이용여부 (%),예,0.0,0.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달앱,이용여부 (%),아니오,100.0,100.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달대행,이용여부 (%),예,0.0,0.0
"업종별","일반음식점 외","기관 구내식당업",소계,배달대행,이용여부 (%),아니오,100.0,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,이용여부 (%),예,0.0,41.4
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,이용여부 (%),아니오,100.0,58.6
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,5만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,5만원~15만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,15만원~50만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,50만원 이상 (%),-,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달앱,월평균 비용,평균 (원),-,700000.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,이용여부 (%),예,0.0,41.4
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,이용여부 (%),아니오,100.0,58.6
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,5만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,5만원~15만원 미만 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,15만원~50만원 미만 (%),-,100.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,50만원 이상 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,모름 (%),-,0.0
"업종별","일반음식점 외","출장·이동음식점업",소계,배달대행,월평균 비용,평균 (원),-,390000.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,이용여부 (%),예,1.6,27.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,이용여부 (%),아니오,98.4,72.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,5만원 미만 (%),0.0,5.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,5만원~15만원 미만 (%),29.5,41.9
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,15만원~50만원 미만 (%),0.5,43.3
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,50만원 이상 (%),70.0,0.1
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,모름 (%),-,9.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달앱,월평균 비용,평균 (원),587611.8,170315.3
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,이용여부 (%),예,2.8,19.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,이용여부 (%),아니오,97.2,80.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,5만원 미만 (%),0.0,17.0
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,5만원~15만원 미만 (%),17.3,38.8
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,15만원~50만원 미만 (%),41.5,24.4
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,50만원 이상 (%),41.2,11.2
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,모름 (%),-,8.6
"업종별","일반음식점 외","기타 음식점업",제과점,배달대행,월평균 비용,평균 (원),388685.7,240650.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,이용여부 (%),예,55.2,65.9
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,이용여부 (%),아니오,44.8,34.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,5만원 미만 (%),7.2,0.8
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,5만원~15만원 미만 (%),26.7,32.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,15만원~50만원 미만 (%),52.6,37.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,50만원 이상 (%),13.5,27.4
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,모름 (%),-,2.7
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달앱,월평균 비용,평균 (원),306955.0,585980.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,이용여부 (%),예,49.4,61.8
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,이용여부 (%),아니오,50.6,38.2
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,5만원 미만 (%),1.9,8.0
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,5만원~15만원 미만 (%),16.5,11.1
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,15만원~50만원 미만 (%),35.5,32.6
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,50만원 이상 (%),46.2,46.7
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,모름 (%),-,1.6
"업종별","일반음식점 외","기타 음식점업",피자·햄버거·샌드위치 및 유사 음식점업,배달대행,월평균 비용,평균 (원),706086.8,1659689.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,이용여부 (%),예,57.4,79.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,이용여부 (%),아니오,42.6,20.6
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,5만원 미만 (%),4.6,4.5
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,5만원~15만원 미만 (%),19.3,16.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,15만원~50만원 미만 (%),61.6,50.8
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,50만원 이상 (%),14.5,23.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,모름 (%),-,5.1
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달앱,월평균 비용,평균 (원),324037.5,364211.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,이용여부 (%),예,49.2,61.6
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,이용여부 (%),아니오,50.8,38.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,5만원 미만 (%),9.9,4.0
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,5만원~15만원 미만 (%),10.6,10.9
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,15만원~50만원 미만 (%),29.6,32.2
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,50만원 이상 (%),49.9,48.5
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,모름 (%),-,4.4
"업종별","일반음식점 외","기타 음식점업",치킨전문점,배달대행,월평균 비용,평균 (원),793054.4,919067.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,이용여부 (%),예,7.3,24.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,이용여부 (%),아니오,92.7,75.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,5만원 미만 (%),8.9,5.1
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,5만원~15만원 미만 (%),31.2,39.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,15만원~50만원 미만 (%),49.5,32.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,50만원 이상 (%),10.4,19.2
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,모름 (%),-,3.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달앱,월평균 비용,평균 (원),181861.4,364499.5
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,이용여부 (%),예,6.9,20.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,이용여부 (%),아니오,93.1,79.4
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,5만원 미만 (%),10.9,8.6
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,5만원~15만원 미만 (%),16.4,12.9
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,15만원~50만원 미만 (%),24.9,31.2
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,50만원 이상 (%),47.8,39.3
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,모름 (%),-,8.0
"업종별","일반음식점 외","기타 음식점업",김밥 및 기타 간이 음식점업,배달대행,월평균 비용,평균 (원),633979.9,831200.3
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,이용여부 (%),예,10.0,22.2
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,이용여부 (%),아니오,90.0,77.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,5만원 미만 (%),0.0,3.8
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,5만원~15만원 미만 (%),19.3,30.7
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,15만원~50만원 미만 (%),64.0,50.5
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,50만원 이상 (%),16.7,15.0
"업종별","일반음식점 외","기타 음식점업",간이 음식 포장 판매 전문점,배달앱,월평균 비용,모름 (%),-,0.0
